photo_id,timelevel,exposure,clicks,click_rate,photo_time,play_time,play_rate,new_pctr
6.0,56,14,1,0.0714285714285714,131.1258320887879,15.77953992496064,0.1203389116667416,0.0714285714285714
18.0,31,22,1,0.0454545454545454,286.69286273067735,23.153548675852605,0.0807608130014848,0.0454545454545454
28.0,13,51,1,0.0196078431372549,227.63836428907936,15.50439846876171,0.0681097780560072,0.0196078431372549
28.0,62,27,1,0.037037037037037,191.6377907331999,26.40548587819493,0.1377885112177948,0.037037037037037
28.0,65,36,1,0.0277777777777777,72.12503291945785,16.16472101859884,0.2241208130421238,0.0277777777777777
28.0,131,70,1,0.0142857142857142,72.11852049077471,29.764954647918184,0.4127227575574803,0.0142857142857142
28.0,132,53,1,0.0188679245283018,45.682575285413854,22.102895708905876,0.483836464358943,0.0188679245283018
29.0,63,49,1,0.0204081632653061,263.8675593592325,26.888222978853268,0.1019004497716497,0.0204081632653061
29.0,107,80,1,0.0125,192.3010531706664,11.456309391568444,0.0595748655697741,0.0125
36.0,32,12,1,0.0833333333333333,221.17959600493228,16.965988347723766,0.0767068421055684,0.0833333333333333
36.0,56,28,1,0.0357142857142857,35.55781345986666,24.74974172332299,0.6960422848063336,0.0357142857142857
36.0,105,17,1,0.0588235294117647,291.87566008373847,23.101180346811653,0.079147333971541,0.0588235294117647
44.0,9,24,1,0.0416666666666666,254.75951301611383,13.884862428675156,0.0545018408313448,0.0416666666666666
44.0,36,3,1,0.3333333333333333,87.33155988313456,17.124058610194197,0.1960809887411754,0.3333333333333333
44.0,57,25,1,0.04,79.09274114591716,15.26886814975082,0.1930501829691486,0.04
44.0,59,100,1,0.01,79.51921766042713,22.26740339523686,0.2800254334785573,0.01
44.0,84,10,1,0.1,112.1454055990752,16.8913645891755,0.1506202104218418,0.1
44.0,106,56,1,0.0178571428571428,171.6842365407042,16.181084840006996,0.0942491003603039,0.0178571428571428
44.0,130,42,2,0.0476190476190476,146.62515503337124,28.295119217453667,0.1929758861023118,0.0476190476190476
44.0,131,78,1,0.0128205128205128,108.63186785347132,18.18054241829297,0.1673591992620056,0.0128205128205128
49.0,63,27,1,0.037037037037037,195.20028157504245,13.910051803931072,0.0712604084978408,0.037037037037037
90.0,77,20,1,0.05,67.6633423760513,29.251391747552645,0.4323078157295678,0.05
90.0,105,19,1,0.0526315789473684,108.87905510450892,13.090036229906069,0.1202254760324787,0.0526315789473684
90.0,126,242,2,0.0082644628099173,128.91769768929674,56.532188598351055,0.4385137929983726,0.0082644628099173
96.0,104,102,2,0.0196078431372549,153.1388957385997,37.13892392626328,0.2425179034179372,0.0196078431372549
96.0,129,225,2,0.0088888888888888,241.99750957611369,35.11463966246888,0.1451033100463562,0.0088888888888888
99.0,125,37,1,0.027027027027027,83.91192118275713,14.626396018096976,0.1743065325156984,0.027027027027027
99.0,129,26,1,0.0384615384615384,168.84329837167513,22.715126687350384,0.1345337772148203,0.0384615384615384
105.0,82,50,2,0.04,189.95193359275143,47.421120600433454,0.2496480014891674,0.04
122.0,5,21,2,0.0952380952380952,42.541611434399385,38.702838490096696,0.9097642798458114,0.0952380952380952
122.0,30,12,1,0.0833333333333333,194.0371100133884,11.114137913868484,0.0572784139750464,0.0833333333333333
122.0,65,21,1,0.0476190476190476,76.04151339556871,28.370203013771,0.3730883532813046,0.0476190476190476
122.0,100,128,2,0.015625,47.56393010602547,59.21316531505524,1.0,0.015625
164.0,17,87,1,0.0114942528735632,286.1990950584,18.6208683042367,0.0650626386517296,0.0114942528735632
164.0,41,2,1,0.5,290.720648930131,22.273216148186545,0.0766138085827521,0.5
164.0,115,79,1,0.0126582278481012,248.2672839914445,19.00597252487493,0.0765544787831565,0.0126582278481012
171.0,1,2,1,0.5,112.24571767681007,16.437593017722413,0.1464429410576828,0.5
